"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","SalaryHikePerYear","AverageYearsCompany","AgeToJubilation","DifferentManagers"
29,"No","Travel_Rarely",153,"Research & Development","4","College","Life Sciences","Very High","Female",49,"Medium","Junior","Lab. Tech.","High","Single",4193,12682,1,"Yes",12,"Excellent","Very High","No",10,3,"Better",9,5,0,8,1.33333333333333,10,37,"Yes"
31,"No","Travel_Rarely",670,"Research & Development","6","Below College","Life Sciences","Low","Male",31,"High","Intern","Research Sci.","High","Divorced",2911,15170,2,"No",17,"Excellent","Very High","Few",5,1,"Good",5,2,4,3,3.4,2.5,35,"Yes"
34,"No","Travel_Rarely",1346,"Research & Development","5","College","Medical","Medium","Male",93,"High","Intern","Lab. Tech.","Very High","Divorced",2661,8758,1,"No",11,"Excellent","High","Few",3,2,"Better",2,2,1,2,5.5,3,32,"No"
28,"Yes","Travel_Rarely",103,"Research & Development","6","Bachelor","Life Sciences","High","Male",50,"Medium","Intern","Lab. Tech.","High","Single",2028,12947,6,"Yes",14,"Excellent","Medium","No",6,4,"Better",4,2,0,3,3.5,1,38,"Yes"
29,"No","Travel_Rarely",1389,"Research & Development","5","Master","Life Sciences","Medium","Female",51,"Very High","Senior","Directors","Low","Divorced",9980,10195,2,"No",11,"Excellent","High","Few",10,1,"Better",10,9,8,8,1.1,5,37,"Yes"
32,"No","Travel_Rarely",334,"Research & Development","2","College","Life Sciences","Low","Male",80,"Very High","Intern","Research Sci.","Medium","Divorced",3298,15053,1,"Yes",12,"Excellent","Very High","Medium",7,5,"Good",6,2,0,5,2,7,34,"Yes"
22,"No","Non-Travel",1123,"Research & Development","5","College","Medical","Very High","Male",96,"Very High","Intern","Lab. Tech.","Very High","Divorced",2935,7324,2,"Yes",13,"Excellent","Medium","Medium",1,2,"Good",1,0,0,0,13,0.5,44,"Yes"
53,"No","Travel_Rarely",1219,"Sales","1","Master","Life Sciences","Low","Female",78,"Medium","Manager","Manager","Very High","Married",15427,22021,3,"No",16,"Excellent","High","No",31,3,"Better",25,8,3,7,0.64,10.3333333333333,13,"Yes"
38,"No","Travel_Rarely",371,"Research & Development","1","Bachelor","Life Sciences","Very High","Male",45,"High","Intern","Research Sci.","Very High","Single",3944,4306,6,"Yes",11,"Excellent","High","No",6,3,"Better",3,2,1,2,3.66666666666667,1,28,"Yes"
24,"No","Non-Travel",673,"Research & Development","4","College","Other","Low","Female",96,"Very High","Junior","Directors","High","Divorced",4011,8232,1,"No",18,"Excellent","Very High","Few",5,5,"Good",4,2,1,3,4.5,5,42,"Yes"
36,"Yes","Travel_Rarely",1218,"Sales","3","Master","Life Sciences","High","Male",82,"Medium","Intern","Representatives","Low","Single",3407,6986,8,"No",23,"Outstanding","Medium","No",10,4,"Better",5,3,0,3,4.6,1.25,30,"Yes"
34,"No","Travel_Rarely",419,"Research & Development","3","Master","Life Sciences","Low","Female",53,"High","Senior","Directors","Medium","Single",11994,21293,1,"No",11,"Excellent","High","No",13,4,"Better",12,6,2,11,0.916666666666667,13,32,"Yes"
21,"No","Travel_Rarely",391,"Research & Development","4","College","Life Sciences","High","Male",96,"High","Intern","Research Sci.","Very High","Single",1232,19281,2,"No",14,"Excellent","Very High","No",0,6,"Better",0,0,0,0,28,0.25,45,"No"
34,"Yes","Travel_Rarely",699,"Research & Development","2","Below College","Medical","Medium","Male",83,"High","Intern","Research Sci.","Low","Single",2960,17102,3,"No",11,"Excellent","High","No",8,2,"Better",4,2,1,3,2.75,2.66666666666667,32,"Yes"
53,"No","Travel_Rarely",1282,"Research & Development","2","Bachelor","Other","High","Female",58,"High","Director","Manager","High","Divorced",19094,10735,5,"No",11,"Excellent","Very High","Few",26,3,"Good",14,13,4,8,0.785714285714286,5.2,13,"Yes"
32,"Yes","Travel_Frequently",1125,"Research & Development","5","Below College","Life Sciences","Medium","Female",72,"Low","Intern","Research Sci.","Low","Single",3919,4681,2,"Yes",22,"Outstanding","Medium","No",10,5,"Better",10,2,6,7,2.2,5,34,"Yes"
42,"No","Travel_Rarely",691,"Sales","3","Master","Marketing","High","Male",48,"High","Junior","Sales Executive","Medium","Married",6825,21173,1,"No",11,"Excellent","Very High","Few",10,2,"Better",9,7,4,2,1.22222222222222,10,24,"Yes"
44,"No","Travel_Rarely",477,"Research & Development","3","Master","Medical","Low","Female",42,"Medium","Senior","Representatives","Very High","Married",10248,2094,4,"No",14,"Excellent","Very High","Few",24,4,"Better",22,6,5,17,0.636363636363636,6,22,"Yes"
46,"No","Travel_Rarely",705,"Sales","1","Master","Marketing","Medium","Female",83,"High","Director","Manager","Low","Single",18947,22822,4,"No",12,"Excellent","Very High","No",22,2,"Good",2,2,2,1,6,5.5,20,"Yes"
33,"No","Travel_Rarely",924,"Research & Development","1","Bachelor","Medical","High","Male",78,"High","Intern","Lab. Tech.","Very High","Single",2496,6670,5,"No",11,"Excellent","Very High","No",7,3,"Better",1,1,0,0,11,1.4,33,"Yes"
44,"No","Travel_Rarely",1459,"Research & Development","3","Master","Other","Very High","Male",41,"High","Junior","Representatives","Very High","Married",6465,19121,3,"Yes",13,"Excellent","Very High","No",9,5,"Best",4,2,1,3,3.25,3,22,"Yes"
30,"No","Travel_Rarely",125,"Research & Development","3","College","Medical","Very High","Male",83,"Medium","Intern","Lab. Tech.","High","Single",2206,16117,2,"No",13,"Excellent","Low","No",10,5,"Better",10,0,1,8,1.3,5,36,"Yes"
39,"Yes","Travel_Rarely",895,"Sales","2","Bachelor","Technical Degree","Very High","Male",56,"High","Junior","Representatives","Very High","Married",2086,3335,4,"No",14,"Excellent","High","Few",19,6,"Best",1,0,0,0,14,4.75,27,"Yes"
24,"Yes","Travel_Rarely",813,"Research & Development","1","Bachelor","Medical","Medium","Male",61,"High","Intern","Research Sci.","Very High","Married",2293,3020,3,"Yes",16,"Excellent","Low","Few",6,2,"Good",2,0,2,0,8,2,42,"Yes"
43,"No","Travel_Rarely",1273,"Research & Development","1","College","Medical","Very High","Female",72,"Very High","Intern","Research Sci.","High","Divorced",2645,21923,2,"No",12,"Excellent","Very High","Medium",6,3,"Good",5,3,1,4,2.4,3,23,"Yes"
50,"Yes","Travel_Rarely",869,"Sales","2","College","Marketing","Low","Male",86,"Medium","Intern","Representatives","High","Married",2683,3810,2,"Yes",14,"Excellent","High","No",3,2,"Better",3,2,0,2,4.66666666666667,1.5,16,"Yes"
35,"No","Travel_Rarely",890,"Sales","1","Bachelor","Marketing","Very High","Female",97,"High","Intern","Representatives","Very High","Married",2014,9687,2,"No",13,"Excellent","Low","No",2,3,"Better",2,2,2,2,6.5,1,31,"No"
36,"No","Travel_Rarely",852,"Research & Development","2","Master","Life Sciences","Medium","Female",82,"Medium","Intern","Research Sci.","Low","Married",3419,13072,10,"Yes",14,"Excellent","Very High","Few",6,3,"Best",1,1,0,0,14,0.6,30,"Yes"
33,"No","Travel_Frequently",1141,"Sales","1","Bachelor","Life Sciences","High","Female",42,"Very High","Junior","Sales Executive","Low","Married",5376,3193,3,"No",19,"Excellent","Low","Medium",10,3,"Better",5,3,1,3,3.8,3.33333333333333,33,"Yes"
35,"No","Travel_Rarely",464,"Research & Development","2","College","Other","High","Male",75,"High","Intern","Lab. Tech.","Very High","Divorced",1951,10910,2,"No",12,"Excellent","High","Few",1,3,"Better",1,0,0,0,12,0.5,31,"Yes"
27,"No","Travel_Rarely",1240,"Research & Development","1","Master","Life Sciences","Very High","Female",33,"High","Intern","Lab. Tech.","Low","Divorced",2341,19715,2,"No",13,"Excellent","Very High","Few",1,6,"Better",1,0,0,0,13,0.5,39,"Yes"
26,"Yes","Travel_Rarely",1357,"Research & Development","6","Bachelor","Life Sciences","Low","Male",48,"Low","Intern","Lab. Tech.","High","Single",2293,10558,2,"No",12,"Excellent","High","No",1,2,"Good",1,0,0,1,12,0.5,40,"No"
27,"No","Travel_Frequently",994,"Sales","3","Bachelor","Life Sciences","Very High","Male",37,"High","Senior","Sales Executive","High","Single",8726,2975,2,"No",15,"Excellent","Very High","No",9,0,"Better",9,8,1,7,1.66666666666667,4.5,39,"Yes"
30,"No","Travel_Frequently",721,"Research & Development","1","College","Medical","High","Female",58,"High","Junior","Lab. Tech.","Very High","Single",4011,10781,2,"No",23,"Outstanding","Very High","No",12,2,"Better",12,8,3,7,1.91666666666667,6,36,"Yes"
41,"Yes","Travel_Rarely",1360,"Research & Development","4","Bachelor","Technical Degree","Medium","Female",49,"High","Director","Directors","High","Married",19545,16280,2,"No",12,"Excellent","Very High","No",23,0,"Better",22,15,15,8,0.545454545454545,11.5,25,"Yes"
34,"No","Non-Travel",1065,"Sales","6","Master","Marketing","Medium","Male",72,"High","Junior","Sales Executive","High","Single",4568,10034,1,"No",20,"Outstanding","High","No",10,2,"Better",9,5,8,7,2.22222222222222,10,32,"Yes"
37,"No","Travel_Rarely",408,"Research & Development","5","College","Life Sciences","Medium","Male",73,"High","Intern","Research Sci.","Medium","Married",3022,10227,5,"No",21,"Outstanding","Low","No",8,1,"Better",1,0,0,0,21,1.6,29,"Yes"
46,"No","Travel_Frequently",1211,"Sales","2","Master","Marketing","Low","Male",98,"High","Junior","Sales Executive","Very High","Single",5772,20445,5,"Yes",21,"Outstanding","High","No",14,4,"Better",9,6,0,8,2.33333333333333,2.8,20,"Yes"
35,"No","Travel_Rarely",1229,"Research & Development","3","Below College","Life Sciences","Very High","Male",36,"Very High","Intern","Lab. Tech.","Very High","Married",2269,4892,2,"No",19,"Excellent","Very High","No",1,2,"Better",1,0,0,1,19,0.5,31,"No"
48,"Yes","Travel_Rarely",626,"Research & Development","1","College","Life Sciences","Low","Male",98,"Medium","Senior","Lab. Tech.","High","Single",5381,19294,10,"Yes",13,"Excellent","Very High","No",23,2,"Better",1,0,0,0,13,2.3,18,"Yes"
28,"Yes","Travel_Rarely",1434,"Research & Development","2","Master","Technical Degree","High","Male",50,"High","Intern","Lab. Tech.","High","Single",3441,11179,2,"Yes",13,"Excellent","High","No",2,3,"Good",2,2,2,2,6.5,1,38,"No"
44,"No","Travel_Rarely",1488,"Sales","1","Doctor","Marketing","Medium","Female",75,"High","Junior","Sales Executive","Low","Divorced",5454,4009,6,"Yes",21,"Outstanding","High","Few",9,2,"Good",4,3,1,3,5.25,1.5,22,"Yes"
35,"No","Non-Travel",1097,"Research & Development","4","College","Medical","High","Male",79,"Medium","Senior","Representatives","Low","Married",9884,8302,3,"Yes",13,"Excellent","High","Few",10,3,"Better",4,0,2,3,3.25,3.33333333333333,31,"Yes"
26,"No","Travel_Rarely",1443,"Sales","6","Bachelor","Marketing","High","Female",47,"Medium","Junior","Sales Executive","Very High","Married",4157,21436,8,"Yes",19,"Excellent","High","Few",5,2,"Good",2,2,0,0,9.5,0.625,40,"Yes"
33,"No","Travel_Frequently",515,"Research & Development","1","College","Life Sciences","Low","Female",98,"High","Senior","Directors","Very High","Single",13458,15146,2,"Yes",12,"Excellent","High","No",15,1,"Better",15,14,8,12,0.8,7.5,33,"Yes"
35,"No","Travel_Frequently",853,"Sales","5","Doctor","Life Sciences","Medium","Male",71,"High","Senior","Sales Executive","Low","Married",9069,11031,2,"No",22,"Outstanding","Very High","Few",9,3,"Good",9,8,1,8,2.44444444444444,4.5,31,"Yes"
35,"No","Travel_Rarely",1142,"Research & Development","6","Master","Medical","High","Female",30,"High","Intern","Lab. Tech.","Low","Married",4014,16002,4,"Yes",15,"Excellent","High","Few",4,3,"Better",2,2,2,2,7.5,1,31,"No"
31,"No","Travel_Rarely",655,"Research & Development","3","Master","Life Sciences","Very High","Male",48,"High","Junior","Lab. Tech.","Very High","Divorced",5915,9528,4,"No",22,"Outstanding","Very High","Few",10,3,"Good",7,7,1,7,3.14285714285714,2.5,35,"No"
37,"No","Travel_Rarely",1115,"Research & Development","1","Master","Life Sciences","Low","Male",51,"Medium","Junior","Directors","High","Divorced",5993,2689,2,"No",18,"Excellent","High","Few",7,2,"Best",7,5,0,7,2.57142857142857,3.5,29,"No"
32,"No","Travel_Rarely",427,"Research & Development","1","Bachelor","Medical","Low","Male",33,"High","Junior","Directors","Very High","Married",6162,10877,2,"Yes",22,"Outstanding","Medium","Few",9,3,"Better",9,8,7,8,2.44444444444444,4.5,34,"Yes"
38,"No","Travel_Frequently",653,"Research & Development","7","Doctor","Life Sciences","Very High","Female",50,"High","Junior","Lab. Tech.","Very High","Single",2406,5456,2,"No",11,"Excellent","Very High","No",10,2,"Better",10,3,9,9,1.1,5,28,"Yes"
50,"No","Travel_Rarely",989,"Research & Development","3","College","Medical","Medium","Female",43,"Medium","Director","Directors","High","Divorced",18740,16701,6,"Yes",12,"Excellent","Very High","Few",29,2,"Good",27,3,13,8,0.444444444444444,4.83333333333333,16,"Yes"
59,"No","Travel_Rarely",1435,"Sales","6","Bachelor","Life Sciences","Low","Female",99,"High","Senior","Sales Executive","Low","Single",7637,2354,8,"No",11,"Excellent","Very High","No",28,3,"Good",21,16,7,9,0.523809523809524,3.5,7,"Yes"
36,"No","Travel_Rarely",1223,"Research & Development","3","Bachelor","Technical Degree","High","Female",59,"High","Senior","Representatives","High","Divorced",10096,8202,2,"No",13,"Excellent","Medium","High",17,2,"Better",17,14,12,8,0.764705882352941,8.5,30,"Yes"
55,"No","Travel_Rarely",836,"Research & Development","3","Bachelor","Medical","Very High","Female",33,"High","Manager","Manager","High","Divorced",14756,19730,3,"Yes",14,"Excellent","High","High",21,2,"Better",5,0,0,2,2.8,7,11,"Yes"
36,"No","Travel_Frequently",1195,"Research & Development","4","Bachelor","Life Sciences","Medium","Male",95,"Medium","Junior","Directors","Medium","Single",6499,22656,2,"No",13,"Excellent","High","No",6,3,"Better",6,5,0,3,2.16666666666667,3,30,"Yes"
45,"No","Travel_Rarely",1339,"Research & Development","3","Bachelor","Life Sciences","Medium","Male",59,"High","Senior","Research Sci.","Low","Divorced",9724,18787,3,"No",17,"Excellent","High","Few",25,2,"Better",1,0,0,0,17,8.33333333333333,21,"Yes"
35,"No","Travel_Frequently",664,"Research & Development","1","Bachelor","Medical","Medium","Male",79,"High","Intern","Research Sci.","Low","Married",2194,5868,5,"No",13,"Excellent","Very High","Few",5,2,"Good",3,2,1,2,4.33333333333333,1,31,"Yes"
36,"Yes","Travel_Rarely",318,"Research & Development","3","Bachelor","Medical","Very High","Male",79,"Medium","Intern","Research Sci.","High","Married",3388,21777,1,"Yes",17,"Excellent","Low","Few",2,0,"Good",1,0,0,0,17,2,30,"Yes"
59,"No","Travel_Frequently",1225,"Sales","1","Below College","Life Sciences","Low","Female",57,"Medium","Junior","Sales Executive","High","Single",5473,24668,8,"No",11,"Excellent","Very High","No",20,2,"Good",4,3,1,3,2.75,2.5,7,"Yes"
29,"No","Travel_Rarely",1328,"Research & Development","1","Bachelor","Life Sciences","High","Male",76,"High","Intern","Research Sci.","Medium","Married",2703,4956,1,"No",23,"Outstanding","Very High","Few",6,3,"Better",5,4,0,4,4.6,6,37,"Yes"
31,"No","Travel_Rarely",1082,"Research & Development","1","Master","Medical","High","Male",87,"High","Intern","Research Sci.","Medium","Single",2501,18775,2,"No",17,"Excellent","Medium","No",1,4,"Better",1,1,1,0,17,0.5,35,"Yes"
32,"No","Travel_Rarely",548,"Research & Development","1","Bachelor","Life Sciences","Medium","Male",66,"High","Junior","Research Sci.","Medium","Married",6220,7346,2,"No",17,"Excellent","Medium","Medium",10,3,"Better",10,4,0,9,1.7,5,34,"Yes"
36,"No","Travel_Rarely",132,"Research & Development","2","Bachelor","Life Sciences","Medium","Female",55,"Very High","Intern","Lab. Tech.","Very High","Married",3038,22002,4,"No",12,"Excellent","Medium","No",5,3,"Better",1,0,0,0,12,1.25,30,"Yes"
31,"No","Travel_Rarely",746,"Research & Development","3","Master","Life Sciences","High","Female",61,"High","Junior","Directors","Very High","Single",4424,20682,2,"No",23,"Outstanding","Very High","No",11,2,"Better",11,7,1,8,2.09090909090909,5.5,35,"Yes"
35,"No","Travel_Rarely",776,"Sales","1","Master","Marketing","High","Male",32,"Medium","Junior","Sales Executive","Low","Single",4312,23016,1,"No",14,"Excellent","Medium","No",16,2,"Better",15,13,2,8,0.933333333333333,16,31,"Yes"
45,"No","Travel_Rarely",193,"Research & Development","2","Master","Other","Very High","Male",52,"High","Senior","Directors","Low","Married",13245,15067,5,"Yes",14,"Excellent","Medium","No",17,3,"Best",0,0,0,0,28,3.4,21,"No"
37,"No","Travel_Rarely",397,"Research & Development","3","Master","Medical","Low","Male",30,"High","Senior","Directors","High","Single",13664,25258,5,"No",13,"Excellent","Low","No",16,3,"Best",5,2,0,2,2.6,3.2,29,"Yes"
46,"No","Travel_Rarely",945,"Human Resources","2","College","Medical","Medium","Male",80,"High","Junior","H.R.","Medium","Divorced",5021,10425,9,"Yes",22,"Outstanding","Very High","Few",16,2,"Better",4,2,0,2,5.5,1.77777777777778,20,"Yes"
30,"No","Travel_Rarely",852,"Research & Development","1","Below College","Life Sciences","Very High","Male",55,"Medium","Junior","Lab. Tech.","Very High","Married",5126,15998,2,"Yes",12,"Excellent","High","Medium",10,1,"Good",10,8,3,0,1.2,5,36,"Yes"
35,"No","Travel_Rarely",1214,"Research & Development","1","Bachelor","Medical","Medium","Male",30,"Medium","Intern","Research Sci.","High","Single",2859,26278,2,"No",18,"Excellent","Low","No",6,3,"Better",6,4,0,4,3,3,31,"Yes"
55,"No","Travel_Rarely",111,"Sales","1","College","Life Sciences","Low","Male",70,"High","Senior","Sales Executive","Very High","Married",10239,18092,4,"No",14,"Excellent","Very High","Few",24,4,"Better",1,0,1,0,14,6,11,"Yes"
38,"No","Non-Travel",573,"Research & Development","2","Bachelor","Medical","Medium","Female",79,"Low","Junior","Research Sci.","Very High","Divorced",5329,15717,8,"Yes",12,"Excellent","Very High","High",17,3,"Better",13,11,1,9,0.923076923076923,2.125,28,"Yes"
34,"No","Travel_Rarely",1153,"Research & Development","1","College","Medical","Low","Male",94,"High","Junior","Directors","Medium","Married",4325,17736,2,"No",15,"Excellent","High","No",5,2,"Better",5,2,1,3,3,2.5,32,"Yes"
56,"No","Travel_Rarely",1400,"Research & Development","3","Bachelor","Life Sciences","Very High","Male",49,"Low","Senior","Directors","Very High","Single",7260,21698,5,"No",11,"Excellent","Low","No",37,3,"Good",6,4,0,2,1.83333333333333,7.4,10,"Yes"
23,"No","Travel_Rarely",541,"Sales","1","Below College","Technical Degree","High","Male",62,"High","Intern","Representatives","Low","Divorced",2322,9518,4,"No",13,"Excellent","High","Few",3,3,"Better",0,0,0,0,26,0.75,43,"No"
51,"No","Travel_Rarely",432,"Research & Development","3","Master","Life Sciences","Very High","Male",96,"High","Intern","Lab. Tech.","Very High","Married",2075,18725,4,"No",23,"Outstanding","Medium","Medium",10,4,"Better",4,2,0,3,5.75,2.5,15,"Yes"
30,"No","Travel_Rarely",288,"Research & Development","1","Bachelor","Life Sciences","High","Male",99,"Medium","Junior","Representatives","Very High","Married",4152,15830,2,"No",19,"Excellent","Low","High",11,3,"Better",11,10,10,8,1.72727272727273,5.5,36,"Yes"
46,"Yes","Travel_Rarely",669,"Sales","3","College","Medical","High","Male",64,"Medium","Senior","Sales Executive","Very High","Single",9619,13596,2,"No",16,"Excellent","Very High","No",9,3,"Better",9,8,4,7,1.77777777777778,4.5,20,"Yes"
40,"No","Travel_Frequently",530,"Research & Development","1","Master","Life Sciences","High","Male",78,"Medium","Manager","Representatives","Medium","Married",13503,14115,2,"No",22,"Outstanding","Very High","Few",22,3,"Good",22,3,11,11,1,11,26,"Yes"
51,"No","Travel_Rarely",632,"Sales","5","Master","Marketing","High","Male",71,"High","Junior","Sales Executive","Very High","Single",5441,8423,1,"Yes",22,"Outstanding","Very High","No",11,2,"Bad",10,7,1,0,2.2,11,15,"Yes"
30,"No","Travel_Rarely",1334,"Sales","2","College","Medical","High","Female",63,"Medium","Junior","Sales Executive","Medium","Divorced",5209,19760,2,"Yes",12,"Excellent","Medium","High",11,4,"Good",11,8,2,7,1.09090909090909,5.5,36,"Yes"
46,"No","Travel_Frequently",638,"Research & Development","1","Bachelor","Medical","High","Male",40,"Medium","Senior","Representatives","Low","Married",10673,3142,3,"Yes",13,"Excellent","High","Few",21,5,"Good",10,9,9,5,1.3,7,20,"Yes"
32,"No","Travel_Rarely",1093,"Sales","2","Master","Medical","Medium","Male",87,"High","Junior","Sales Executive","High","Single",5010,24301,2,"No",16,"Excellent","Low","No",12,0,"Better",11,8,5,7,1.45454545454545,6,34,"Yes"
54,"No","Travel_Rarely",1217,"Research & Development","1","Master","Technical Degree","Low","Female",60,"High","Senior","Directors","High","Married",13549,24001,10,"No",12,"Excellent","Low","Few",16,5,"Bad",4,3,0,3,3,1.6,12,"Yes"
24,"No","Travel_Rarely",1353,"Sales","2","College","Other","Low","Female",33,"High","Junior","Sales Executive","High","Married",4999,17519,1,"No",21,"Outstanding","Low","Few",4,2,"Good",3,2,0,2,7,4,42,"Yes"
28,"No","Non-Travel",120,"Sales","2","Bachelor","Medical","Medium","Male",43,"High","Junior","Sales Executive","High","Married",4221,8863,2,"No",15,"Excellent","Medium","No",5,3,"Best",5,4,0,4,3,2.5,38,"Yes"
58,"No","Travel_Rarely",682,"Sales","3","Master","Medical","Very High","Male",37,"High","Manager","Sales Executive","High","Single",13872,24409,1,"No",13,"Excellent","High","No",38,1,"Good",37,10,1,8,0.351351351351351,38,8,"Yes"
44,"No","Non-Travel",489,"Research & Development","6","Bachelor","Medical","Medium","Male",67,"High","Junior","Lab. Tech.","Medium","Married",2042,25043,5,"No",12,"Excellent","High","Few",17,3,"Best",3,2,1,2,4,3.4,22,"Yes"
37,"Yes","Travel_Rarely",807,"Human Resources","2","Master","Human Resources","High","Male",63,"High","Intern","H.R.","Low","Divorced",2073,23648,5,"Yes",22,"Outstanding","Very High","No",7,3,"Better",3,2,0,2,7.33333333333333,1.4,29,"Yes"
32,"No","Travel_Rarely",827,"Research & Development","1","Below College","Life Sciences","Very High","Male",71,"High","Intern","Research Sci.","Low","Single",2956,15178,2,"No",13,"Excellent","Very High","No",1,2,"Better",1,0,0,0,13,0.5,34,"Yes"
20,"Yes","Travel_Frequently",871,"Research & Development","2","Bachelor","Life Sciences","Very High","Female",66,"Medium","Intern","Lab. Tech.","Very High","Single",2926,19783,2,"Yes",18,"Excellent","Medium","No",1,5,"Better",1,0,1,0,18,0.5,46,"Yes"
34,"No","Travel_Rarely",665,"Research & Development","2","Master","Other","Low","Female",41,"High","Junior","Research Sci.","High","Single",4809,12482,2,"No",14,"Excellent","High","No",16,3,"Better",16,13,2,10,0.875,8,32,"Yes"
37,"No","Non-Travel",1040,"Research & Development","1","College","Life Sciences","High","Male",100,"Medium","Junior","Representatives","Very High","Divorced",5163,15850,6,"No",14,"Excellent","Very High","Few",17,2,"Best",1,0,0,0,14,2.83333333333333,29,"Yes"
59,"No","Non-Travel",1420,"Human Resources","1","Master","Human Resources","High","Female",32,"Medium","Director","Manager","Very High","Married",18844,21922,10,"No",21,"Outstanding","Very High","Few",30,3,"Better",3,2,2,2,7,3,7,"Yes"
50,"No","Travel_Frequently",1115,"Research & Development","1","Bachelor","Life Sciences","Low","Female",73,"High","Director","Directors","Medium","Married",18172,9755,4,"Yes",19,"Excellent","Low","No",28,1,"Good",8,3,0,7,2.375,7,16,"Yes"
25,"Yes","Travel_Rarely",240,"Sales","2","Bachelor","Marketing","High","Male",46,"Medium","Junior","Sales Executive","High","Single",5744,26959,2,"Yes",11,"Excellent","Very High","No",6,1,"Better",6,4,0,3,1.83333333333333,3,41,"Yes"
25,"No","Travel_Rarely",1280,"Research & Development","3","Below College","Medical","Very High","Male",64,"Medium","Intern","Research Sci.","Very High","Married",2889,26897,2,"No",11,"Excellent","High","Medium",2,2,"Better",2,2,2,1,5.5,1,41,"Yes"
22,"No","Travel_Rarely",534,"Research & Development","4","Bachelor","Medical","Medium","Female",59,"High","Intern","Lab. Tech.","Very High","Single",2871,23785,2,"No",15,"Excellent","High","No",1,5,"Better",0,0,0,0,30,0.5,44,"No"
